projection_1,projection_2,projection_method,subtype_id,subtype,Luminal subtype signature,HER2-enriched subtype signature,Basal-like subtype signature
-3.9829187,-3.5388165,PCA,3,Basal-like,-0.3750010255602309,-0.10806884585654053,0.01419275345006568
-10.034772,2.6432128,PCA,3,Basal-like,-0.9350384295435524,-0.8612645259426442,1.2084567039079572
-5.4592614,-2.5589232,PCA,3,Basal-like,-0.858034137159256,-0.317293361009767,0.5785457253820271
1.7649518,-4.340925,PCA,0,Luminal A,1.0815750551982555,-0.16985765885555562,-0.0992339827424982
7.8175635,1.6422925,PCA,1,Luminal B,-0.5889668152113494,2.4095927304229083,-1.000730449470547
-6.1074533,-1.5580487,PCA,3,Basal-like,-0.3846970591006731,-0.13452529749851824,0.8906305828201028
-3.5215378,-5.1121902,PCA,3,Basal-like,-0.04723906777962449,-0.27362877481614434,-0.16319941566718207
-4.8570585,-2.4464962,PCA,3,Basal-like,-0.3541047866055702,0.05002033348607588,0.9764174081516988
23.986898,2.6835036,PCA,1,Luminal B,1.151816821462136,0.3645402758951846,-1.1291865997548838
-0.944453,-4.7569036,PCA,0,Luminal A,0.4802758770153146,-0.1389471596209416,0.5591981016491678
-7.1363344,6.080745,PCA,4,Normal-like,-0.5795106157497605,-0.5025561380222283,0.6481221009020982
0.9554769,-4.759437,PCA,4,Normal-like,0.8095811462698672,0.07559611185008781,-0.0575304429870803
-7.9161396,2.7354379,PCA,3,Basal-like,-1.111259504992253,-0.38240915447073304,1.3145795239459512
-6.864048,-2.7846217,PCA,3,Basal-like,-0.48616527379325014,-0.41098968305058386,1.305036179567737
-0.44912583,-5.352824,PCA,4,Normal-like,1.0829925749297993,-0.14151534764329848,0.17996395963001477
-3.9894753,6.038323,PCA,4,Normal-like,-0.8048628335878766,0.5799010161542216,0.6356517899674491
0.3975999,10.548395,PCA,2,HER2-enriched,-0.6156827591879233,1.689640169880022,-1.2787835357807233
-6.616528,-2.1472793,PCA,3,Basal-like,-0.4676638869231625,-0.4687635889583786,0.8664737820910104
-2.8330197,-5.918891,PCA,3,Basal-like,0.30894172664180297,-0.35219538951999546,0.8215363683111366
-5.566178,-3.016744,PCA,3,Basal-like,-0.8005758274486925,-0.03196986223042454,0.41567494722351733
